The initialization template is either None or invalid, the servers and jobs will be generated randomly
Episode 23000, Average_updates: 0.243900, iterations: 11477000,reward: -2440.566717
Episode 23100, Average_updates: 0.243140, iterations: 11526900,reward: -2434.097179
Episode 23200, Average_updates: 0.242043, iterations: 11576800,reward: -2415.426386
Episode 23300, Average_updates: 0.240424, iterations: 11626700,reward: -2400.931643
Episode 23400, Average_updates: 0.242274, iterations: 11676600,reward: -2419.745608
Episode 23500, Average_updates: 0.244739, iterations: 11726500,reward: -2446.258792
Episode 23600, Average_updates: 0.242947, iterations: 11776400,reward: -2426.935833
Episode 23700, Average_updates: 0.243976, iterations: 11826300,reward: -2437.754247
Episode 23800, Average_updates: 0.242312, iterations: 11876200,reward: -2422.091973
Episode 23900, Average_updates: 0.242445, iterations: 11926100,reward: -2422.457442
Episode 24000, Average_updates: 0.243191, iterations: 11976000,reward: -2430.427017
Episode 24100, Average_updates: 0.242887, iterations: 12025900,reward: -2426.786900
Episode 24200, Average_updates: 0.244005, iterations: 12075800,reward: -2436.870608
Episode 24300, Average_updates: 0.242319, iterations: 12125700,reward: -2421.020637
Episode 24400, Average_updates: 0.242291, iterations: 12175600,reward: -2420.663240
Episode 24500, Average_updates: 0.241861, iterations: 12225500,reward: -2412.803601
Episode 24600, Average_updates: 0.242315, iterations: 12275400,reward: -2418.818933
Episode 24700, Average_updates: 0.242131, iterations: 12325300,reward: -2416.991241
Episode 24800, Average_updates: 0.242239, iterations: 12375200,reward: -2419.520509
Episode 24900, Average_updates: 0.243368, iterations: 12425100,reward: -2431.810932
Episode 25000, Average_updates: 0.242539, iterations: 12475000,reward: -2423.400480
Episode 25100, Average_updates: 0.241854, iterations: 12524900,reward: -2415.294734
Episode 25200, Average_updates: 0.242755, iterations: 12574800,reward: -2424.622857
Episode 25300, Average_updates: 0.242392, iterations: 12624700,reward: -2420.191250
Episode 25400, Average_updates: 0.243314, iterations: 12674600,reward: -2435.077233
Episode 25500, Average_updates: 0.242989, iterations: 12724500,reward: -2427.284529
Episode 25600, Average_updates: 0.242780, iterations: 12774400,reward: -2427.811894
Episode 25700, Average_updates: 0.243799, iterations: 12824300,reward: -2434.108058
Episode 25800, Average_updates: 0.241839, iterations: 12874200,reward: -2419.907702
Episode 25900, Average_updates: 0.243465, iterations: 12924100,reward: -2432.578836
Episode 26000, Average_updates: 0.239520, iterations: 12974000,reward: -2391.728466
Episode 26100, Average_updates: 0.241444, iterations: 13023900,reward: -2410.997834
Episode 26200, Average_updates: 0.242967, iterations: 13073800,reward: -2431.466228
Episode 26300, Average_updates: 0.243099, iterations: 13123700,reward: -2429.618820
Episode 26400, Average_updates: 0.243877, iterations: 13173600,reward: -2436.544979
Episode 26500, Average_updates: 0.242827, iterations: 13223500,reward: -2428.559691
Episode 26600, Average_updates: 0.243425, iterations: 13273400,reward: -2431.849355
Episode 26700, Average_updates: 0.243393, iterations: 13323300,reward: -2432.234985
Episode 26800, Average_updates: 0.241767, iterations: 13373200,reward: -2414.052977
Episode 26900, Average_updates: 0.242765, iterations: 13423100,reward: -2428.873135
Episode 27000, Average_updates: 0.242177, iterations: 13473000,reward: -2419.331123
Episode 27100, Average_updates: 0.243459, iterations: 13522900,reward: -2433.079045
Episode 27200, Average_updates: 0.243142, iterations: 13572800,reward: -2425.845709
Episode 27300, Average_updates: 0.242031, iterations: 13622700,reward: -2415.268281
Episode 27400, Average_updates: 0.242198, iterations: 13672600,reward: -2419.786076
Episode 27500, Average_updates: 0.242337, iterations: 13722500,reward: -2419.989359
Episode 27600, Average_updates: 0.242869, iterations: 13772400,reward: -2425.017673
Episode 27700, Average_updates: 0.242134, iterations: 13822300,reward: -2421.630657
Episode 27800, Average_updates: 0.241271, iterations: 13872200,reward: -2409.972307
Episode 27900, Average_updates: 0.241535, iterations: 13922100,reward: -2416.177229
Episode 28000, Average_updates: 0.242298, iterations: 13972000,reward: -2423.413937
Episode 28100, Average_updates: 0.244126, iterations: 14021900,reward: -2437.373622
Episode 28200, Average_updates: 0.242352, iterations: 14071800,reward: -2419.857578
Episode 28300, Average_updates: 0.241731, iterations: 14121700,reward: -2422.077908
Episode 28400, Average_updates: 0.244167, iterations: 14171600,reward: -2438.566871
Episode 28500, Average_updates: 0.241946, iterations: 14221500,reward: -2416.045661
Episode 28600, Average_updates: 0.241246, iterations: 14271400,reward: -2410.595544
Episode 28700, Average_updates: 0.241884, iterations: 14321300,reward: -2417.239466
Episode 28800, Average_updates: 0.240700, iterations: 14371200,reward: -2403.362124
Episode 28900, Average_updates: 0.241633, iterations: 14421100,reward: -2413.775548
Episode 29000, Average_updates: 0.242060, iterations: 14471000,reward: -2419.131427
Episode 29100, Average_updates: 0.242156, iterations: 14520900,reward: -2416.493645
Episode 29200, Average_updates: 0.243469, iterations: 14570800,reward: -2431.860281
Episode 29300, Average_updates: 0.242810, iterations: 14620700,reward: -2425.394687
Episode 29400, Average_updates: 0.243435, iterations: 14670600,reward: -2432.931848
Episode 29500, Average_updates: 0.243753, iterations: 14720500,reward: -2435.009214
Episode 29600, Average_updates: 0.242493, iterations: 14770400,reward: -2423.253117
Episode 29700, Average_updates: 0.242072, iterations: 14820300,reward: -2418.749799
Episode 29800, Average_updates: 0.243476, iterations: 14870200,reward: -2432.291872
Episode 29900, Average_updates: 0.243774, iterations: 14920100,reward: -2431.117257
